City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Lebu,CL,-37.6167,-73.65,53.38,91,0,8.59,clear sky
117,Loncoche,CL,-39.3667,-72.6333,55.4,87,65,2.26,broken clouds
118,Hell,NO,63.4455,10.9033,43.0,70,75,14.97,broken clouds
119,Naze,JP,28.3667,129.4833,71.6,94,20,5.75,few clouds
120,Hinton,CA,53.4001,-117.5857,42.8,56,100,4.61,overcast clouds
121,Maroantsetra,MG,-15.4333,49.7333,75.9,89,79,0.38,broken clouds
122,Veinticinco De Mayo,AR,-35.4323,-60.1727,66.99,71,49,1.99,scattered clouds
123,Butaritari,KI,3.0707,172.7902,82.96,76,57,14.16,broken clouds
124,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,35.6,87,90,22.37,snow
125,Sucua,EC,-2.4667,-78.1667,69.8,88,40,5.75,light rain
126,Caravelas,BR,-17.7125,-39.2481,76.84,84,100,5.32,overcast clouds
127,Ajdabiya,LY,30.7554,20.2263,69.82,23,28,13.18,scattered clouds
128,Fairbanks,US,64.8378,-147.7164,28.99,93,90,3.44,mist
129,Ilo,PE,-17.6394,-71.3375,68.85,83,99,5.7,overcast clouds
130,Hambantota,LK,6.1241,81.1185,76.69,83,88,11.05,overcast clouds
131,Pokosnoye,RU,55.5258,101.0536,32.47,96,100,12.26,light snow
132,Nantucket,US,41.2835,-70.0995,34.0,64,1,5.75,clear sky
133,Yar-Sale,RU,66.8333,70.8333,19.58,99,98,4.79,overcast clouds
134,Ribeira Grande,PT,38.5167,-28.7,62.13,84,49,29.73,scattered clouds
135,Hit,IQ,33.6416,42.8251,60.17,36,0,4.99,clear sky
136,General Pico,AR,-35.6566,-63.7568,67.1,62,0,8.66,clear sky
137,Rawson,AR,-43.3002,-65.1023,70.02,57,22,10.51,few clouds
138,Beloha,MG,-25.1667,45.05,69.06,90,2,4.27,clear sky
139,Ono,JP,34.85,134.9333,63.0,72,75,10.36,broken clouds
140,Katobu,ID,-4.9408,122.5276,81.1,82,92,6.93,overcast clouds
141,Nuuk,GL,64.1835,-51.7216,24.8,50,75,20.71,light snow
142,Kimbe,PG,-5.5502,150.1429,83.95,74,81,3.0,light rain
143,Dubti,ET,11.7361,41.0853,80.04,63,5,14.29,clear sky
144,Abeche,TD,13.8292,20.8324,79.88,12,100,16.11,overcast clouds
145,Kiama,AU,-34.6833,150.8667,80.01,62,21,5.99,few clouds
146,Port Elizabeth,ZA,-33.918,25.5701,60.8,88,0,6.91,clear sky
147,East London,ZA,-33.0153,27.9116,62.47,77,78,12.19,broken clouds
148,Bambanglipuro,ID,-7.95,110.2833,78.04,86,97,2.04,overcast clouds
149,Iqaluit,CA,63.7506,-68.5145,-0.4,71,75,2.3,broken clouds
150,Boa Vista,BR,2.8197,-60.6733,87.8,55,75,9.22,broken clouds
151,Qui Nhon,VN,13.7667,109.2333,78.85,88,81,5.39,broken clouds
152,Nouadhibou,MR,20.931,-17.0347,66.2,77,97,17.27,overcast clouds
153,Georgetown,MY,5.4112,100.3354,80.01,94,40,5.75,light rain
154,Bluff,NZ,-46.6,168.3333,60.01,91,76,4.0,light rain
