City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Niamey,NE,82.4,clear sky,13.5137,2.1098,Soluxe Hotel Niamey
196,Karratha,AU,85.77,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
198,Labuhan,ID,80.74,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
199,Lakatoro,VU,84.67,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
200,Raga,SS,76.53,clear sky,8.4596,25.678,
206,Garissa,KE,80.62,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
209,Isangel,VU,84.2,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
210,Tautira,PF,87.8,light rain,-17.7333,-149.15,Pension Oaoa
213,Meulaboh,ID,75.78,overcast clouds,4.1363,96.1285,Kost Pria
217,Amahai,ID,83.68,broken clouds,-3.3333,128.9167,HOTEL ISABELA
219,Sola,VU,87.8,light rain,-13.8833,167.55,Leumerus Bungalows
221,Honiara,SB,88.27,broken clouds,-9.4333,159.95,Heritage Park Hotel
225,Bandarban,BD,77.0,haze,22.1965,92.2262,Hotel Plaza
229,Ulladulla,AU,79.0,few clouds,-35.35,150.4667,Sandpiper Motel
230,Hobyo,SO,81.82,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
231,Noumea,NC,80.6,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
233,Dingle,PH,81.57,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
234,Princes Town,TT,78.8,few clouds,10.2667,-61.3833,D.Riley's Car Rental & Leasing.
235,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
238,Bubaque,GW,75.56,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
243,Mount Isa,AU,80.6,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
245,Save,BJ,81.46,overcast clouds,8.0425,2.4859999999999998,Restaurant Plazza Hotel
248,Ratnagiri,IN,75.07,broken clouds,16.9833,73.3,Hotel Landmark
253,Vilhena,BR,75.2,moderate rain,-12.7406,-60.1458,Hotel Mirage
254,Sur,OM,84.33,clear sky,22.5667,59.5289,Sur Plaza Hotel
256,Saint-Joseph,RE,77.0,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
257,San Pedro,PH,84.99,few clouds,14.35,121.0167,OYO 412 Viewfort Venue
260,Balotra,IN,78.96,clear sky,25.8333,72.2333,Hotel City Square
262,Bosconia,CO,83.8,overcast clouds,9.9689,-73.8836,Hotel Jorlin
266,Nalvo,PH,81.97,clear sky,16.8096,120.5108,SABALO RESIDENCE
271,Pandan,PH,83.1,broken clouds,14.0453,124.1694,Bonifacio Lodge
273,Touho,NC,78.08,overcast clouds,-20.7833,165.2333,Auberge Timay Evasion
